bidVol,"[1, 4, 3, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.70000000000002
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,82432
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:00
volume,824
,603444.SH
amount,15286000.0
askPrice,"[185.77, 186.0, 186.01, 0.0, 0.0]"
askVol,"[3, 2, 1, 0, 0]"
bidPrice,"[185.71, 185.70000000000002, 185.66, 0.0, 0.0]"
bidVol,"[1, 4, 3, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.70000000000002
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,82432
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:00
volume,824
,603444.SH
amount,15602100.0
askPrice,"[186.1, 186.11, 186.19, 0.0, 0.0]"
askVol,"[6, 8, 5, 0, 0]"
bidPrice,"[186.02, 185.71, 185.70000000000002, 0.0, 0.0]"
bidVol,"[1, 1, 4, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.02
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,84132
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:03
volume,841
,603444.SH
amount,16290500.0
askPrice,"[186.23, 186.35, 186.39000000000001, 0.0, 0.0]"
askVol,"[1, 2, 1, 0, 0]"
bidPrice,"[186.20000000000002, 186.19, 186.1, 0.0, 0.0]"
bidVol,"[3, 3, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,186.23
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,87832
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:06
volume,878
,603444.SH
amount,16997700.0
askPrice,"[186.39000000000001, 186.4, 186.41, 0.0, 0.0]"
askVol,"[2, 1, 18, 0, 0]"
bidPrice,"[186.32, 186.27, 186.11, 0.0, 0.0]"
bidVol,"[1, 1, 1, 0, 0]"
high,186.84
lastClose,182.2
lastPrice,185.89000000000001
lastSettlementPrice,0.0
low,182.69
open,182.69
openInt,13
pvolume,91632
settlementPrice,0.0
stockStatus,0
timetag,20240202 09:32:09
volume,916
,603444.SH
amount,17165400.0
askPrice,"[186.41, 186.49, 186.52, 0.0, 0.0]"
askVol,"[15, 1, 2, 0, 0]"
